Country,3TC,ABC,AZT,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Computed Overall Treatment Impact,Given Overall Treatment Impact,Diff (Computed - Given)
Afghanistan,35.67,3.48,15.83,21.36,7.06,4.61,16.43,23.75,0.41,128.6,129.23,-0.6299999999999955
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,186.17,3.71,70.8,140.01,49.13,15.75,77.09,164.99,2.51,710.1600000000001,710.73,-0.5699999999999363
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0.18,0.0,0.07,0.14,0.05,0.01,0.07,0.17,0.0,0.6900000000000001,0.69,1.1102230246251565e-16
Angola,1085.33,84.82,466.43,689.47,232.4,128.13,489.16,780.41,13.09,3969.2400000000002,3984.25,-15.009999999999764
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.83,0.0,0.31,0.64,0.23,0.07,0.34,0.77,0.01,3.1999999999999997,3.2,-4.440892098500626e-16
Argentina,3783.18,122.26,1502.67,2719.59,953.98,350.74,1618.61,3192.02,50.93,14293.980000000001,14313.3,-19.31999999999789
Armenia,5.91,0.02,2.21,4.55,1.66,0.5,2.42,5.51,0.09,22.87,22.88,-0.00999999999999801
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,28.29,0.42,10.59,21.62,7.62,2.33,11.58,25.57,0.39,108.41,108.46,-0.04999999999999716
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,25.93,0.41,9.97,19.37,7.0,2.33,10.85,23.24,0.4,99.5,99.55,-0.04999999999999716
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,38.03,0.15,14.14,29.42,10.71,3.19,15.53,35.53,0.6,147.3,147.31,-0.009999999999990905
Bangladesh,96.37,5.81,40.35,64.0,22.17,10.71,42.69,74.03,1.28,357.40999999999997,358.42,-1.0100000000000477
Barbados,17.26,0.07,6.4,13.38,4.86,1.44,7.03,16.13,0.27,66.83999999999999,66.84,-1.4210854715202004e-14
Belarus,131.78,1.05,49.84,100.31,36.61,11.52,54.48,121.23,2.09,508.91,509.0,-0.08999999999997499
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,14.65,0.69,6.04,10.05,3.49,1.48,6.44,11.68,0.19,54.71,54.83,-0.11999999999999744
Benin,400.56,30.52,171.85,256.0,85.84,46.0,180.47,289.01,4.68,1464.93,1470.3,-5.369999999999891
Bermuda,0.88,0.0,0.33,0.68,0.25,0.07,0.36,0.82,0.01,3.4,3.4,0.0
Bhutan,1.02,0.0,0.38,0.79,0.29,0.09,0.42,0.95,0.02,3.96,3.95,0.009999999999999787
Bolivia,28.96,0.1,10.45,22.92,8.11,2.2,11.54,27.25,0.41,111.94,111.94,0.0
"Bonaire, Saint Eustatius and Saba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,2332.29,99.98,947.07,1630.74,562.14,223.15,1013.53,1889.84,29.3,8728.039999999999,8744.41,-16.3700000000008
Brazil,26289.59,698.93,10268.91,19233.0,6809.37,2405.37,11107.32,22729.25,368.48,99910.21999999999,100018.5,-108.28000000001339
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,577.01,36.29,239.96,385.23,131.04,62.55,254.1,440.49,7.06,2133.73,2140.06,-6.329999999999927
Burundi,2295.02,131.43,943.38,1557.47,533.36,243.0,1002.38,1790.82,28.75,8525.609999999999,8548.4,-22.790000000000873
Cambodia,3983.28,14.9,1457.17,3121.97,1118.96,316.2,1605.41,3736.78,58.66,15413.33,15413.33,0.0
Cameroon,38770.32,1603.06,15553.8,27271.74,9613.16,3946.17,16660.73,32035.35,543.11,145997.44,146268.09,-270.6499999999942
Canada,34.2,0.14,12.72,26.46,9.63,2.87,13.97,31.95,0.54,132.48,132.47,0.009999999999990905
Cape Verde,14.05,0.06,5.23,10.87,3.96,1.18,5.74,13.12,0.22,54.43,54.41,0.020000000000003126
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,620.38,33.75,255.79,420.49,146.28,66.92,271.76,488.39,8.31,2312.0699999999997,2317.88,-5.8100000000004
Chad,1037.43,63.3,430.89,693.9,238.37,113.73,456.47,798.43,13.25,3845.77,3856.83,-11.059999999999945
Chile,123.02,0.45,44.72,96.86,34.51,9.57,49.32,115.57,1.77,475.7899999999999,475.8,-0.010000000000104592
